Rec,Inf,UID,Name,Personality,Age,Position,Preferred Foot,Height,Min WD,Club,Division,Wage,Expires,Transfer Value,Mins,Cln/90,Con/90,xA/90,xA,Mins/Gl,xG-OP,xG/90,Gls,Conc,Gls/90,NP-xG,NP-xG/90,Pens Saved,Pens Saved Ratio,Red,Saves/90,Aer A/90,Asts/90,Blk/90,Clr/90,Conv %,Crs A/90,Cr C/A,Cr C/90,Distance,Dist/90,Drb/90,xGP/90,xG/shot,xGP,xSv %,Hdrs L/90,Hdrs W/90,Sprints/90,Hdr %,Itc,Int/90,Hdrs,K Hdrs/90,K Pas,Pas %,Pas A,Ps A/90,Ps C,Ps C/90,Poss Lost/90,Poss Won/90,Pres A,Pres A/90,Pres C,Pres C/90,Pr Passes,Pr passes/90,Shots,ShT,Shots Outside Box/90,Shts Blckd,Shts Blckd/90,ShT/90,Shot %,Shot/90,Tck R,Tck A,Tck W,Tck/90,Off,Drb,Cr A,Clear,Blk,Hdrs A,Goals Outside Box,Best Pos,Clean Sheets,Sv %,Svh,Svp,Svt
- -  -,,29218376,Angelo Cappello,,24,D/WB/M (L),Left,"5'7""",-,Pontypridd,JD Cymru Premier,€210 p/w,30/6/2027,Unknown,"2,153",-,-,0.17,3.98,-,-0.10,0.00,0,-,-,0.10,0.00,-,-,0,-,3.72,0.13,0.88,1.50,-,9.07,9%,0.92,308.6km,12.9km,1.59,-,0.05,-,-,2.26,1.46,12.75,39%,64,2.68,35,0.21,32,82%,959,40.09,790,33.02,14.63,15.34,260,10.87,70,2.93,71,2.97,2,0,0.04,8,0.33,0.00,0%,0.08,70%,70,49,2.05,2,38,217,36,21,89,0,WB (L),-,-,-,-,-
- -  -,Ctr,2000300467,Max Campbell,Balanced,20,GK,Right Only,"5'9""",N/A,Barnoldswick,English North West Counties Premier Division,N/A,-,€0,300,0.00,2.40,0.00,0.00,-,0.00,0.00,0,8,-,0.00,0.00,0,-,0,-,-,-,-,0.00,-,-,-,-,0.0km,0.0km,-,0.00,0.00,0.00,0%,-,-,0.00,-,0,-,-,0.00,0,52%,100,30.00,52,15.60,0.00,0.00,0,0.00,0,0.00,0,0.00,0,-,-,-,-,-,-,-,-,0,-,-,0,0,-,-,-,-,-,GK,0,0%,0,0,0
- -  -,,2000280771,Jaiden Campbell-Ryce,Balanced,18,M/AM (R),Right,"6'0""",-,Hereford,Vanarama National League North,€210 p/w,30/6/2026,€12K - €130K,"2,945",-,-,0.16,5.09,589.00,1.75,0.10,5,-,0.15,3.25,0.10,-,-,0,-,6.48,0.09,0.34,1.28,17%,7.33,13%,0.98,441.3km,13.5km,2.32,-,0.11,-,-,2.84,3.64,14.46,56%,69,2.11,119,0.09,48,74%,816,24.94,603,18.43,14.52,8.01,352,10.76,90,2.75,122,3.73,30,15,0.28,1,0.03,0.46,50%,0.92,74%,50,37,1.13,2,76,240,42,11,212,1,M (R),-,-,-,-,-
- -  -,FrA,29159617,Mike Calveley,Balanced,26,"DM, M (C)",Right,"6'1""",-,,-,-,-,€0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,M (C),-,-,-,-,-
- -  -,Loa,2002140385,Sammy Byles,Fairly Professional,18,M/AM (C),Right Only,"6'1""",-,Oxford City,Vanarama National League North,€6 p/w,30/6/2026,€0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,M (C),-,-,-,-,-
- -  -,FrA,29175404,Danny Butterworth,,26,"AM (RC), ST (C)",Right,"5'11""",-,,-,-,-,€0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AM (R),-,-,-,-,-
- -  -,Ctr,29160424,Luke Burgess,Balanced,26,"M (L), AM (RLC)",Left,"5'9""",€800 p/w,Southport,Vanarama National League North,N/A,-,€0,"1,312",-,-,0.15,2.14,"1,312.00",-0.84,0.13,1,-,0.07,1.84,0.13,-,-,0,-,5.35,0.14,0.55,1.99,8%,6.65,20%,1.92,181.7km,12.5km,2.40,-,0.14,-,-,4.60,0.75,11.18,14%,12,0.82,11,0.00,30,87%,349,23.94,303,20.79,11.32,5.62,202,13.86,57,3.91,30,2.06,13,4,0.34,1,0.07,0.27,31%,0.89,89%,38,34,2.33,3,35,97,29,8,78,0,AM (L),-,-,-,-,-
- -  -,FrA,28100729,Isaac Buckley-Ricketts,,27,M/AM (L),Right Only,"5'9""",-,,-,-,-,€0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AM (L),-,-,-,-,-
- -  -,,28116005,Zak Brown,,25,"M (C), AM (LC)",Right,"6'2""",-,Peterborough Sports,Vanarama National League North,€450 p/w,30/6/2026,€22K - €80K,"2,351",-,-,0.18,4.59,"1,175.50",-2.07,0.16,2,-,0.08,4.07,0.16,-,-,0,-,8.38,0.34,0.27,0.61,8%,1.15,6%,0.08,343.9km,13.2km,0.88,-,0.16,-,-,5.13,3.25,12.63,39%,36,1.38,85,0.11,36,83%,900,34.45,745,28.52,8.77,5.55,202,7.73,52,1.99,98,3.75,25,12,0.08,4,0.15,0.46,48%,0.96,88%,32,28,1.07,8,23,30,16,7,219,0,AM (C),-,-,-,-,-
- - B -,Ctr,2000238464,Max Brogan,Balanced,23,"DM, M/AM (C)",Right,"6'1""",€350 p/w,Leatherhead,English Isthmian League South Central Division,N/A,-,€0,540,-,-,0.17,0.99,-,-0.79,0.13,0,-,-,0.79,0.13,-,-,0,-,-,-,-,0.00,-,0.00,-,0.00,0.0km,0.0km,-,-,0.09,-,-,-,-,0.00,-,0,-,-,0.00,0,69%,120,20.00,83,13.83,0.00,0.00,0,0.00,0,0.00,0,0.00,9,4,0.00,0,0.00,0.67,44%,1.50,100%,7,7,1.17,0,0,0,0,0,0,0,M (C),-,-,-,-,-
- - A- -,Wnt,2000299862,Devon Brockie,,18,M/AM (C),Right,"5'6""",-,,-,-,-,€0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,M (C),-,-,-,-,-
- - A- -,Ctr,2002140883,Alex Brannagan,Balanced,18,"M (C), AM (RC), ST (C)",Right Only,"5'10""",-,St. Ives,English Southern League Premier Central,N/A,-,€0,810,-,-,0.04,0.39,135.00,3.32,0.30,6,-,0.67,2.68,0.30,-,-,0,-,-,0.11,-,0.00,25%,0.00,-,0.00,0.0km,0.0km,-,-,0.11,-,-,-,-,0.00,-,0,-,-,0.00,0,57%,180,20.00,102,11.33,0.00,0.00,0,0.00,0,0.00,0,0.00,24,11,0.00,0,0.00,1.22,46%,2.67,65%,20,13,1.44,0,0,0,0,0,0,0,ST (C),-,-,-,-,-
- - A -,,29235834,Ben Bottomley,Balanced,23,GK,Right Only,"6'1""",€230 p/w,Leamington,Vanarama National League North,€210 p/w,30/6/2026,€0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GK,-,-,-,-,-
- - A+ -,,2000272469,Jackson Blaize,,18,"M (C), AM (RC)",Right,"6'0""",-,Newport Co,Vanarama National League,€425 p/w,30/6/2028,Unknown,17,-,-,-,0.00,-,0.00,-,0,-,-,0.00,-,-,-,0,-,-,-,-,-,-,-,-,-,2.9km,-,-,-,0.00,-,-,-,-,-,0%,1,-,0,-,0,92%,13,-,12,-,-,-,4,-,2,-,1,-,0,-,-,0,-,-,-,-,-,0,-,-,0,0,0,0,0,3,0,AM (R),-,-,-,-,-
- - B -,FrA,90091794,Paul Blackett,,27,ST (C),Right,"5'7""",-,,-,-,-,€0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ST (C),-,-,-,-,-
- - A -,,29188482,Kevin Berkoe,Fairly Professional,24,D/WB/M (L),Left,"5'11""",-,Longford,Irish First Division,€350 p/w,30/11/2027,€22K - €220K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D (L),-,-,-,-,-
- - A+ -,,2000115675,Juwan Beckles-Richards,Mercenary,17,"M (C), AM (RC)",Right,"5'10""",-,Altrincham,Vanarama National League North,€180 p/w,30/6/2026,€0 - €2K,660,-,-,0.10,0.73,660.00,-0.30,0.18,1,-,0.14,1.30,0.18,-,-,0,-,7.23,0.14,0.27,0.95,10%,4.64,6%,0.68,97.4km,13.3km,2.18,-,0.13,-,-,3.55,3.68,12.00,51%,13,1.77,27,0.00,10,80%,232,31.64,185,25.23,13.91,6.68,49,6.68,14,1.91,9,1.23,10,2,0.68,0,0.00,0.27,20%,1.36,67%,24,16,2.18,3,16,34,7,2,53,0,M (C),-,-,-,-,-
- - B- -,Ctr,2000280919,Dan Bayliss,,27,D (C),Right,"6'0""",-,Leamington,Vanarama National League North,N/A,-,€0,"1,703",-,-,0.02,0.31,-,-1.20,0.06,0,-,-,1.20,0.06,-,-,0,-,6.98,-,0.79,1.43,-,0.16,-,0.00,218.5km,11.5km,-,-,0.12,-,-,1.96,5.02,4.81,72%,34,1.80,95,0.69,6,83%,"1,075",56.81,888,46.93,9.67,13.26,71,3.75,20,1.06,116,6.13,10,5,0.00,12,0.63,0.26,50%,0.53,69%,35,24,1.27,0,0,3,27,15,132,0,D (C),-,-,-,-,-
- - A- -,,29194266,Alfie Bates,Balanced,24,"DM, M (C)",Right,"5'7""",-,Farsley,Vanarama National League North,€250 p/w,30/6/2026,€0 - €85K,"3,021",-,-,0.29,9.90,335.67,-1.22,0.30,9,-,0.27,4.69,0.14,-,-,0,-,4.08,0.24,0.51,0.77,17%,8.67,23%,1.82,434.7km,13.0km,0.77,-,0.20,-,-,3.28,0.80,10.13,20%,56,1.67,27,0.03,131,81%,"1,817",54.13,"1,463",43.58,13.97,7.86,372,11.08,109,3.25,194,5.78,52,32,0.89,13,0.39,0.95,62%,1.55,74%,68,50,1.49,4,26,291,26,17,137,0,M (C),-,-,-,-,-
- - A+ -,Loa,2000132686,Mikell Barnes,Balanced,21,"M (C), AM (LC)",Right,"5'11""",-,Watford,Sky Bet Championship,€725 p/w,30/6/2027,€28K - €275K,30,-,-,-,0.02,-,-0.75,-,0,-,-,0.75,-,-,-,0,-,-,-,-,-,-,-,-,-,3.4km,-,-,-,0.38,-,-,-,-,-,0%,0,-,0,-,1,71%,14,-,10,-,-,-,4,-,2,-,1,-,2,1,-,0,-,-,50%,-,100%,2,2,-,0,0,0,0,0,2,0,M (C),-,-,-,-,-
- - A+ -,,2000134428,Owen Barker,,20,AM (RC),Left,"5'9""",-,Huddersfield,Sky Bet Championship,€800 p/w,30/6/2026,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AM (R),-,-,-,-,-
- - B -,Wnt,28093445,Ben Barclay,,29,"D (C), WB (R)",Right,"6'2""",-,,-,-,-,€0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D (C),-,-,-,-,-
- - A+ -,,2000130212,Jayden Barber,Fairly Determined,20,D/WB (R),Right,"6'3""",-,Eastbourne Borough,Vanarama National League,€475 p/w,30/6/2026,Not for Sale,"1,863",-,-,0.12,2.47,-,-0.88,0.04,0,-,-,0.88,0.04,-,-,0,-,4.06,0.05,0.48,1.64,-,8.50,13%,1.11,274.7km,13.3km,1.45,-,0.29,-,-,2.37,1.69,14.98,42%,38,1.84,35,0.14,31,87%,749,36.18,652,31.50,19.03,10.39,194,9.37,64,3.09,74,3.57,3,0,0.05,7,0.34,0.00,0%,0.14,88%,69,61,2.95,3,30,176,34,10,84,0,D (R),-,-,-,-,-
- - D -,,2000230759,Jack Ball,Balanced,32,D (RLC),Right Only,"6'2""",€190 p/w,Leamington,Vanarama National League North,€180 p/w,30/6/2026,€0,746,-,-,0.03,0.23,-,-0.33,0.04,0,-,-,0.33,0.04,-,-,0,-,6.27,-,0.97,2.41,-,2.05,5%,0.12,103.2km,12.5km,0.36,-,0.07,-,-,2.17,4.10,7.72,65%,18,2.17,34,0.48,3,86%,424,51.15,363,43.79,10.38,13.63,55,6.64,19,2.29,56,6.76,5,1,0.12,0,0.00,0.12,20%,0.60,63%,24,15,1.81,0,3,17,20,8,52,0,D (C),-,-,-,-,-
- - B- -,FrA,29164150,Lewis Baines,,27,D (LC),Left,"6'0""",-,,-,-,-,€0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D (C),-,-,-,-,-
- - D -,Ctr,29242311,Connor Austin,Balanced,23,"D (RC), DM, M (C)",Right,"6'4""",-,St. Ives,English Southern League Premier Central,N/A,-,€0,"1,630",-,-,0.04,0.68,543.33,2.29,0.04,3,-,0.17,0.71,0.04,-,-,0,-,-,0.06,-,0.00,25%,0.00,-,0.00,0.0km,0.0km,-,-,0.06,-,-,-,-,0.00,-,0,-,-,0.00,0,66%,380,20.98,252,13.91,0.00,0.00,0,0.00,0,0.00,0,0.00,12,3,0.00,0,0.00,0.17,25%,0.66,93%,42,39,2.15,0,0,0,0,0,0,0,D (C),-,-,-,-,-
- - D -,Ctr,2000304473,Ryan Atkinson,Balanced,19,"AM (R), ST (C)",Right,"5'9""",N/A,Chesham,English Southern League Premier South,N/A,-,€0,262,-,-,0.03,0.10,262.00,0.75,0.09,1,-,0.34,0.25,0.09,-,-,0,-,6.18,-,0.34,0.69,20%,4.12,16%,0.69,29.9km,10.3km,2.06,-,0.05,-,-,4.47,1.72,7.56,28%,5,1.72,5,0.00,2,80%,97,33.32,78,26.79,18.55,0.34,24,8.24,3,1.03,3,1.03,5,1,0.69,0,0.00,0.34,20%,1.72,100%,3,3,1.03,1,6,12,2,1,18,0,AM (R),-,-,-,-,-
- - B -,FrA,28109688,Dan Atherton,,26,GK,Right,"6'6""",-,,-,-,-,€0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GK,-,-,-,-,-
- - A- -,FrA,28124416,Finlay Armstrong,,22,D (L),Left,"6'1""",-,,-,-,-,€0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D (L),-,-,-,-,-
- - A+ -,,28122210,Dempsey Arlott-John,Balanced,24,"AM (RL), ST (C)",Right,"5'9""",-,Scarborough Athletic,Vanarama National League,€400 p/w,30/6/2026,€0 - €18K,"1,362",-,-,0.07,1.01,"1,362.00",-1.67,0.18,1,-,0.07,2.67,0.18,-,-,0,-,5.88,-,0.26,1.19,5%,5.15,10%,0.53,189.8km,12.5km,2.84,-,0.13,-,-,4.82,1.06,12.42,18%,23,1.52,16,0.00,13,84%,478,31.59,402,26.56,23.33,2.64,169,11.17,44,2.91,30,1.98,21,6,0.40,0,0.00,0.40,29%,1.39,83%,35,29,1.92,4,43,78,18,4,89,1,ST (C),-,-,-,-,-
- - A- -,,2000210565,Jon Ander Vilar Robinson,Balanced,20,GK,Right,"6'2""",N/A,Farsley,Vanarama National League North,€45 p/w,30/6/2026,€0,809,0.22,1.56,0.01,0.07,-,0.00,0.00,0,14,-,0.00,0.00,0,-,0,5,-,-,-,9.57,-,-,-,-,39.3km,4.4km,-,0.29,0.00,2.62,86%,-,-,0.22,-,2,0.22,-,0.00,0,34%,193,21.47,65,7.23,17.91,6.90,0,0.00,0,0.00,20,2.22,0,-,-,-,-,-,-,-,-,0,-,-,0,0,-,-,-,-,-,GK,2,87%,20,24,7
- - D -,Ret,29110719,Josh Amis,Balanced,31,ST (C),Right,"6'1""",-,Barwell,English Southern League Premier Central,N/A,-,€0,"2,790",-,-,0.06,1.90,279.00,-0.20,0.33,10,-,0.32,10.20,0.33,-,-,0,-,0.58,0.06,-,0.00,10%,0.00,-,0.00,12.2km,0.4km,0.06,-,0.11,-,-,0.10,0.48,0.06,83%,1,0.03,15,0.00,0,62%,636,20.52,395,12.74,0.32,0.19,4,0.13,2,0.06,0,0.00,96,48,0.03,0,0.00,1.55,50%,3.10,65%,52,34,1.10,1,2,0,0,0,18,0,ST (C),-,-,-,-,-
- - A- -,FrA,29164662,Justin Amaluzor,,29,M/AM (RL),Left,"6'0""",-,,-,-,-,€0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AM (R),-,-,-,-,-
- - B -,,2000261216,Olabade Aluko,,18,"D (RC), WB/M/AM (R)",Right,"6'1""",-,AFC Telford,Vanarama National League North,€350 p/w,30/6/2026,€0 - €30K,"2,970",-,-,0.12,3.94,-,-1.41,0.04,0,-,-,1.41,0.04,-,-,0,-,6.03,0.09,0.39,2.24,-,3.39,15%,0.55,424.9km,12.9km,0.61,-,0.05,-,-,1.45,4.58,9.91,76%,73,2.21,151,0.33,41,82%,"1,570",47.58,"1,282",38.85,11.76,13.12,160,4.85,58,1.76,213,6.45,26,6,0.42,4,0.12,0.18,23%,0.79,79%,73,58,1.76,4,20,112,74,13,199,0,AM (R),-,-,-,-,-
- -  -,,90087670,Taylor Allen,,25,WB (L),Unknown,"6'2""",N/A,Bury,English Northern Premier League Premier Division,€475 p/w,30/6/2026,Unknown,540,-,-,0.15,0.93,-,-0.03,0.01,0,-,-,0.03,0.01,-,-,0,-,7.33,-,0.67,1.50,-,0.00,-,0.00,67.9km,11.3km,-,-,0.03,-,-,2.33,5.00,4.67,68%,9,1.50,30,0.50,3,85%,331,55.17,283,47.17,3.00,11.00,15,2.50,4,0.67,18,3.00,1,0,0.00,2,0.33,0.00,0%,0.17,100%,4,4,0.67,0,0,0,9,4,44,0,-,-,-,-,-,-
- - B- -,,2000048044,Victor Akinwale,,21,ST (C),Right,"6'0""",-,Eastleigh,Vanarama National League,€725 p/w,30/6/2028,Unknown,"2,002",-,-,0.01,0.30,"1,001.00",-1.45,0.16,2,-,0.09,2.64,0.12,-,-,0,-,12.09,0.04,0.27,0.76,6%,0.58,23%,0.13,255.3km,11.5km,1.12,-,0.11,-,-,10.34,1.75,6.25,14%,24,1.08,39,0.04,8,84%,512,23.02,431,19.38,21.31,1.17,131,5.89,29,1.30,9,0.40,31,11,0.63,0,0.00,0.49,35%,1.39,83%,18,15,0.67,16,25,13,17,6,269,1,ST (C),-,-,-,-,-
- - B -,Ctr,2000304478,Xander Agis,Balanced,18,ST (C),Right,"6'1""",€325 p/w,Chesham,English Southern League Premier South,N/A,-,€0,"1,001",-,-,0.07,0.79,200.20,2.57,0.22,5,-,0.45,2.43,0.22,-,-,0,-,9.71,0.09,0.09,0.72,25%,0.54,16%,0.09,126.1km,11.3km,0.54,-,0.12,-,-,7.82,1.89,5.57,19%,7,0.63,21,0.00,8,90%,267,24.01,239,21.49,18.61,0.09,68,6.11,15,1.35,8,0.72,20,10,0.45,0,0.00,0.90,50%,1.80,82%,11,9,0.81,3,6,6,8,1,108,1,ST (C),-,-,-,-,-
- - B -,Wnt,29235181,Joe Ackroyd,,23,M (C),Right,"5'9""",-,,-,-,-,€0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,M (C),-,-,-,-,-
